Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
393,02/16/2026 05:44,02/16/2026 05:51,steve.joseph@upr.edu,STEVE JOSEPH,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Steve Joseph,steve.joseph@upr.edu,Staff Training Program - Focused motivating hub,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Erica Lane,Yes,CPF - MEJORAS PERMANENTES (40411-69);D - DONATIVOS (40270),90642.13,New
394,02/06/2026 04:38,02/06/2026 04:47,elijah.villanueva@upr.edu,ELIJAH VILLANUEVA,School of Dental Medicine,,,,,,,Office of the Dean - Dental Medicine,,,,,Elijah Villanueva,elijah.villanueva@upr.edu,Curriculum Enhancement - Pre-emptive heuristic hardware,This project addresses critical needs by developing strategic solutions and community partnerships.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Jennifer Cooke,Yes,RMF - F PAREO GRANTS (40320),6403.64,Pending
395,02/17/2026 12:54,02/17/2026 13:09,michael.lin@upr.edu,MICHAEL LIN,Dean of Administration,,,,,Facilities Management,,,,,,,Michael Lin,michael.lin@upr.edu,Research Collaboration Network - Horizontal national implementation,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,William Evans,Yes,RCI - RECOBRO COSTOS IND (40330);CPFF - F MEJORAS FONDOS FEDERALES (40470),63214.37,New
396,01/25/2026 22:13,01/25/2026 22:27,sandra.watts@upr.edu,SANDRA WATTS,Dean of Administration,,,,,Office of the Dean of Administration,,,,,,,Sandra Watts,sandra.watts@upr.edu,Mental Health Services - Programmable high-level secured line,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Kayla Rice,No,,,N/A
397,02/08/2026 15:53,02/08/2026 15:57,amber.hamilton@upr.edu,AMBER HAMILTON,School of Nursing,,,,,,,,Nursing Research,,,,Amber Hamilton,amber.hamilton@upr.edu,Student Success Initiative - Stand-alone logistical open architecture,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Anthony Mclaughlin,Yes,PPIU - PLAN PRACT INTRAM (40312);FIP - PAREO FONDO INSTITUCIONAL (40120),217576.84,Existing
398,01/31/2026 17:15,01/31/2026 17:28,maurice.diaz@upr.edu,MAURICE DIAZ,Graduate School of Public Health,,,,,,,,,,,Department of Social Sciences,Maurice Diaz,maurice.diaz@upr.edu,Learning Management System Upgrade - Automated homogeneous parallelism,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Eddie Wright,Yes,CPFF - F MEJORAS FONDOS FEDERALES (40470);EMPAUX - F EMP AUX (20181);RMF - F PAREO GRANTS (40320),126098.0,Existing
399,01/28/2026 10:25,01/28/2026 10:29,kelly.roberts@upr.edu,KELLY ROBERTS,Chancellor,External Relations,,,,,,,,,,,Kelly Roberts,kelly.roberts@upr.edu,Social Determinants Project - Mandatory 6thgeneration attitude,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Lisa Perry,No,,,N/A
400,01/28/2026 21:39,01/28/2026 21:43,tony.ramirez@upr.edu,TONY RAMIREZ,Dean of Investigation,,,Clinical Research Center,,,,,,,,,Tony Ramirez,tony.ramirez@upr.edu,Accreditation Support - Stand-alone zero-defect info-mediaries,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Susan Liu,No,,,N/A
401,01/27/2026 10:27,01/27/2026 10:37,fred.byrd@upr.edu,FRED BYRD,School of Dental Medicine,,,,,,,Department of Oral and Maxillofacial Surgery,,,,,Fred Byrd,fred.byrd@upr.edu,Data Analysis Center - Assimilated full-range matrices,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Samantha Jones,Yes,CPF - MEJORAS PROJETOS FEMA (40471);ROPR - PROYECTOS ESPECIALES (40399);MGRC - CONTRATOS GOB MUNICIPAL (40260),61336.46,New
402,02/09/2026 07:31,02/09/2026 07:45,ashley.harris@upr.edu,ASHLEY HARRIS,School of Dental Medicine,,,,,,,Department of Restorative Sciences,,,,,Ashley Harris,ashley.harris@upr.edu,Academic Advising System - Customizable multi-state emulation,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Keith Hoffman,Yes,CPF - MEJORAS PROJETOS FEMA (40471);CDBGMF - PAREO PROYECTOS FEMA (40472),7027.5,New
403,02/18/2026 11:06,02/18/2026 11:10,steven.mcpherson@upr.edu,STEVEN MCPHERSON,School of Medicine,,,,,,Department of Pediatrics,,,,,,Steven Mcpherson,steven.mcpherson@upr.edu,Publication Support Initiative - Operative context-sensitive Graphic Interface,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Jaclyn Harris,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);FIP - PAREO FONDO INSTITUCIONAL (40120);FGF - F GRANTS FEDERALES (40231-39),61519.03,Pending
404,02/03/2026 07:29,02/03/2026 07:33,alex.hernandez@upr.edu,ALEX HERNANDEZ,Dean of Administration,,,,,Office of the Dean of Administration,,,,,,,Alex Hernandez,alex.hernandez@upr.edu,Purchasing System Upgrade - Multi-tiered holistic synergy,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Audrey Parks,Yes,SGOVC - CONTRATOS GOB PR (40250);CPF - MEJORAS PERMANENTES (40411-69),53756.95,Pending
405,02/09/2026 16:13,02/09/2026 16:23,robert.mcguire.md@upr.edu,ROBERT MCGUIRE MD,Dean of Administration,,,,,Facilities Management,,,,,,,Robert Mcguire MD,robert.mcguire.md@upr.edu,Campus Recreation Program - Compatible bi-directional middleware,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Amber Garcia,Yes,FSTAID - F AYUDA ECON FED (40210-29);FGF - F GRANTS FEDERALES (40231-39),71719.37,Pending
406,02/18/2026 19:52,02/18/2026 20:03,daniel.klein@upr.edu,DANIEL KLEIN,Dean of Administration,,,,,Office of the Dean of Administration,,,,,,,Daniel Klein,daniel.klein@upr.edu,Social Determinants Project - Intuitive bi-directional product,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Charles Young,Yes,GF - FONDO GENERAL (40110),73831.4,Pending
407,02/07/2026 16:58,02/07/2026 17:06,scott.sullivan@upr.edu,SCOTT SULLIVAN,Dean of Students,,,,Career Services,,,,,,,,Scott Sullivan,scott.sullivan@upr.edu,Faculty Development Program - Vision-oriented exuding budgetary management,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Kristen Davenport,No,,,N/A
408,02/11/2026 17:31,02/11/2026 17:41,megan.young@upr.edu,MEGAN YOUNG,Chancellor,RCM Central Administration,,,,,,,,,,,Megan Young,megan.young@upr.edu,Laboratory Equipment Upgrade - Proactive bifurcated open architecture,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,John Richardson,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);RCI - RECOBRO COSTOS IND (40330),89489.16,New
409,02/08/2026 08:58,02/08/2026 09:03,jesse.tucker@upr.edu,JESSE TUCKER,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Jesse Tucker,jesse.tucker@upr.edu,Learning Management System Upgrade - Adaptive mission-critical core,This project addresses critical needs by developing strategic solutions and community partnerships.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Keith King,Yes,RMF - F PAREO GRANTS (40320),224396.65,Pending
410,02/16/2026 06:49,02/16/2026 06:53,courtney.mullins@upr.edu,COURTNEY MULLINS,Dean of Academic Affairs,,Library Services,,,,,,,,,,Courtney Mullins,courtney.mullins@upr.edu,Laboratory Equipment Upgrade - Focused intermediate circuit,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Charles Hayes,Yes,CPF - MEJORAS PERMANENTES (40411-69);EMPAUX - F EMP AUX (20181),52482.56,Existing
411,02/04/2026 04:41,02/04/2026 04:52,tonya.palmer@upr.edu,TONYA PALMER,School of Pharmacy,,,,,,,,,Department of Pharmacy Practice,,,Tonya Palmer,tonya.palmer@upr.edu,Research Training Program - Object-based 3rdgeneration approach,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Daniel Bowers,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);CPF - MEJORAS PERMANENTES (40411-69),133707.43,Pending
412,01/25/2026 20:16,01/25/2026 20:19,bryce.waters@upr.edu,BRYCE WATERS,Dean of Investigation,,,Clinical Research Center,,,,,,,,,Bryce Waters,bryce.waters@upr.edu,Grant Writing Support - Reactive 3rdgeneration firmware,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Richard Wilson,Yes,SGOVC - CONTRATOS GOB PR (40250),27586.09,Existing
413,01/24/2026 22:03,01/24/2026 22:05,rebecca.hanson@upr.edu,REBECCA HANSON,School of Health Professions,,,,,,,,,,Department of Medical Technology,,Rebecca Hanson,rebecca.hanson@upr.edu,Infrastructure Improvement - Open-architected executive flexibility,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Jacob Williams,Yes,RENDINC - INGRESOS FONDO DOTAL (40370),34387.57,Pending
414,02/17/2026 07:13,02/17/2026 07:22,sherri.leblanc@upr.edu,SHERRI LEBLANC,Graduate School of Public Health,,,,,,,,,,,Department of Biostatistics,Sherri Leblanc,sherri.leblanc@upr.edu,Research Training Program - Phased coherent open architecture,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Kimberly Murillo,Yes,FGF - F GRANTS FEDERALES (40231-39),102738.7,Existing
415,02/03/2026 00:35,02/03/2026 00:41,ashley.bryant@upr.edu,ASHLEY BRYANT,School of Dental Medicine,,,,,,,Department of Diagnostic Sciences,,,,,Ashley Bryant,ashley.bryant@upr.edu,Data Analysis Center - Profound clear-thinking moderator,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Christopher Nelson,No,,,N/A
416,02/15/2026 12:12,02/15/2026 12:25,jennifer.mcconnell@upr.edu,JENNIFER MCCONNELL,School of Medicine,,,,,,Department of Pediatrics,,,,,,Jennifer Mcconnell,jennifer.mcconnell@upr.edu,Student Research Fellowship - Balanced object-oriented benchmark,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Jose Rice,Yes,CPF - MEJORAS PROJETOS FEMA (40471);CPFF - F MEJORAS FONDOS FEDERALES (40470),148857.64,Pending
417,01/29/2026 08:15,01/29/2026 08:27,jordan.jordan@upr.edu,JORDAN JORDAN,Chancellor,Accreditation and Assessment,,,,,,,,,,,Jordan Jordan,jordan.jordan@upr.edu,Learning Management System Upgrade - Cloned incremental migration,This initiative will transform our operations through technology and process improvement.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,James Green,No,,,N/A
418,02/18/2026 06:42,02/18/2026 06:55,sheri.moore@upr.edu,SHERI MOORE,Chancellor,Accreditation and Assessment,,,,,,,,,,,Sheri Moore,sheri.moore@upr.edu,Health Education Campaign - Progressive client-server structure,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Michelle Smith,Yes,REVF - FONDOS ROTATORIOS (40380);FSTAID - F AYUDA ECON FED (40210-29),106193.08,Pending
419,01/31/2026 16:22,01/31/2026 16:24,jennifer.wong@upr.edu,JENNIFER WONG,School of Pharmacy,,,,,,,,,Department of Pharmacy Practice,,,Jennifer Wong,jennifer.wong@upr.edu,Community Outreach Initiative - Reactive bi-directional archive,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Mark Hernandez,Yes,PPIU - PLAN PRACT INTRAM (40312);RMF - F PAREO GRANTS (40320),113270.58,Existing
420,02/03/2026 20:18,02/03/2026 20:27,jeffrey.tran@upr.edu,JEFFREY TRAN,School of Health Professions,,,,,,,,,,Department of Radiologic Sciences,,Jeffrey Tran,jeffrey.tran@upr.edu,Research Collaboration Network - Grass-roots stable parallelism,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Thomas Mccullough,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),176850.45,Pending
421,01/26/2026 00:20,01/26/2026 00:27,sonya.marsh@upr.edu,SONYA MARSH,Dean of Academic Affairs,,Library Services,,,,,,,,,,Sonya Marsh,sonya.marsh@upr.edu,Research Training Program - Managed reciprocal success,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Sonya Wilson,Yes,EMPAUX - F EMP AUX (20181),45537.82,Pending
422,01/31/2026 05:42,01/31/2026 05:44,robin.duke@upr.edu,ROBIN DUKE,School of Dental Medicine,,,,,,,Department of Restorative Sciences,,,,,Robin Duke,robin.duke@upr.edu,Budget Efficiency Initiative - Business-focused zero tolerance attitude,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Angela Johnson,Yes,GF - FONDO GENERAL (40110),156017.52,New
423,01/27/2026 02:49,01/27/2026 02:51,william.shaffer@upr.edu,WILLIAM SHAFFER,School of Nursing,,,,,,,,Nursing Simulation Center,,,,William Shaffer,william.shaffer@upr.edu,Health Education Campaign - Exclusive logistical Local Area Network,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Jose Perez,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);RENDINC - INGRESOS FONDO DOTAL (40370);REVF - FONDOS ROTATORIOS (40380),103127.69,Existing
424,01/24/2026 20:52,01/24/2026 21:03,cindy.salazar@upr.edu,CINDY SALAZAR,School of Health Professions,,,,,,,,,,Office of the Dean - Health Professions,,Cindy Salazar,cindy.salazar@upr.edu,Research Training Program - Team-oriented asynchronous standardization,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Justin Morrison,Yes,RCI - RECOBRO COSTOS IND (40330);FGF - F GRANTS FEDERALES (40231-39);EMPAUX - F EMP AUX (20181),213603.49,Pending
425,02/05/2026 04:44,02/05/2026 04:55,jamie.wells@upr.edu,JAMIE WELLS,School of Health Professions,,,,,,,,,,Department of Occupational Therapy,,Jamie Wells,jamie.wells@upr.edu,Energy Sustainability - Grass-roots secondary workforce,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,David Zavala,Yes,ISTFA - AYUDA INST ASIST ECON EST (40275);CPF - MEJORAS PROJETOS FEMA (40471);CPPF - F MEJORAS DONATIVO PRIV (40280),173186.89,Pending
426,01/20/2026 08:36,01/20/2026 08:47,kristy.johnson@upr.edu,KRISTY JOHNSON,School of Pharmacy,,,,,,,,,Department of Pharmacy Practice,,,Kristy Johnson,kristy.johnson@upr.edu,Health Screening Program - Robust contextually-based model,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Ryan Turner,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);PPIU - PLAN PRACT INTRAM (40312),210984.1,Existing
427,02/07/2026 16:38,02/07/2026 16:44,micheal.graves@upr.edu,MICHEAL GRAVES,School of Nursing,,,,,,,,Undergraduate Nursing Programs,,,,Micheal Graves,micheal.graves@upr.edu,Learning Management System Upgrade - Diverse high-level interface,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Cynthia Spencer,Yes,FGF - F GRANTS FEDERALES (40231-39);FIP - PAREO FONDO INSTITUCIONAL (40120);CPFF - F MEJORAS FONDOS FEDERALES (40470),182702.4,Pending
428,01/22/2026 06:36,01/22/2026 06:46,nicholas.houston@upr.edu,NICHOLAS HOUSTON,Dean of Academic Affairs,,Student Affairs,,,,,,,,,,Nicholas Houston,nicholas.houston@upr.edu,Budget Efficiency Initiative - Devolved motivating function,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Sarah Kim,No,,,N/A
429,02/05/2026 12:16,02/05/2026 12:26,jonathan.garcia@upr.edu,JONATHAN GARCIA,Graduate School of Public Health,,,,,,,,,,,Department of Health Policy and Management,Jonathan Garcia,jonathan.garcia@upr.edu,Student Support Services - Reduced tertiary throughput,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Emily Campbell,Yes,REVF - FONDOS ROTATORIOS (40380),156739.72,Existing
430,02/15/2026 22:05,02/15/2026 22:18,wesley.clark.jr.@upr.edu,WESLEY CLARK JR.,Dean of Students,,,,Health Services,,,,,,,,Wesley Clark Jr.,wesley.clark.jr.@upr.edu,Cultural Activities Series - Customer-focused object-oriented hierarchy,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Jessica Henson,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472),51095.6,New
431,02/03/2026 01:48,02/03/2026 01:54,shaun.matthews@upr.edu,SHAUN MATTHEWS,Dean of Academic Affairs,,Curricular Development,,,,,,,,,,Shaun Matthews,shaun.matthews@upr.edu,Space Renovation Project - Optimized multimedia leverage,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Patrick Alvarez,No,,,N/A
432,02/08/2026 23:05,02/08/2026 23:18,alexandra.hayes@upr.edu,ALEXANDRA HAYES,School of Health Professions,,,,,,,,,,Department of Medical Technology,,Alexandra Hayes,alexandra.hayes@upr.edu,Academic Advising System - Managed coherent collaboration,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Regina Hill,No,,,N/A
433,01/27/2026 04:14,01/27/2026 04:28,shelly.santos@upr.edu,SHELLY SANTOS,Chancellor,Office of the Chancellor,,,,,,,,,,,Shelly Santos,shelly.santos@upr.edu,Social Determinants Project - Realigned 6thgeneration contingency,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Linda Griffith,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);RMF - F PAREO GRANTS (40320);CPF - MEJORAS PERMANENTES (40411-69),134435.48,Existing
434,02/10/2026 14:44,02/10/2026 14:55,jimmy.barnes@upr.edu,JIMMY BARNES,Graduate School of Public Health,,,,,,,,,,,Department of Biostatistics,Jimmy Barnes,jimmy.barnes@upr.edu,Process Optimization - Phased bi-directional algorithm,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Christopher Williams,No,,,N/A
435,01/25/2026 01:33,01/25/2026 01:45,jennifer.wade@upr.edu,JENNIFER WADE,School of Pharmacy,,,,,,,,,Department of Pharmacy Practice,,,Jennifer Wade,jennifer.wade@upr.edu,Cultural Activities Series - Down-sized bottom-line product,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Victor Pearson,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);RENDINC - INGRESOS FONDO DOTAL (40370),219385.13,New
436,02/09/2026 23:41,02/09/2026 23:50,adrienne.ford@upr.edu,ADRIENNE FORD,Dean of Administration,,,,,Human Resources,,,,,,,Adrienne Ford,adrienne.ford@upr.edu,Process Optimization - Programmable multi-state project,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Amanda Wood,Yes,ROPR - PROYECTOS ESPECIALES (40399);GF - FONDO GENERAL (40110),199957.29,Pending
437,01/28/2026 00:25,01/28/2026 00:29,amy.monroe@upr.edu,AMY MONROE,Dean of Students,,,,Student Activities,,,,,,,,Amy Monroe,amy.monroe@upr.edu,Mental Health Services - Triple-buffered high-level Internet solution,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Melanie Wilson,Yes,FGF - F GRANTS FEDERALES (40231-39),115382.73,Pending
